user_id,feature,timestamp,session_duration,actions,date
103,share,2025-01-01 00:00:00,0.19,9,2025-01-01
436,click,2025-01-01 01:00:00,2.29,1,2025-01-01
861,share,2025-01-01 02:00:00,3.91,8,2025-01-01
271,click,2025-01-01 03:00:00,0.8,8,2025-01-01
107,click,2025-01-01 04:00:00,6.86,3,2025-01-01
72,search,2025-01-01 05:00:00,0.04,9,2025-01-01
701,purchase,2025-01-01 06:00:00,0.92,8,2025-01-01
21,share,2025-01-01 07:00:00,4.35,3,2025-01-01
615,purchase,2025-01-01 08:00:00,6.27,5,2025-01-01
122,click,2025-01-01 09:00:00,12.42,3,2025-01-01
467,purchase,2025-01-01 10:00:00,6.11,5,2025-01-01
215,search,2025-01-01 11:00:00,5.57,9,2025-01-01
331,scroll,2025-01-01 12:00:00,2.51,4,2025-01-01
459,click,2025-01-01 13:00:00,0.01,6,2025-01-01
88,click,2025-01-01 14:00:00,0.64,3,2025-01-01
373,click,2025-01-01 15:00:00,3.82,3,2025-01-01
100,purchase,2025-01-01 16:00:00,5.62,5,2025-01-01
872,search,2025-01-01 17:00:00,2.7,8,2025-01-01
664,purchase,2025-01-01 18:00:00,6.56,8,2025-01-01
131,search,2025-01-01 19:00:00,3.69,3,2025-01-01
662,scroll,2025-01-01 20:00:00,0.39,8,2025-01-01
309,scroll,2025-01-01 21:00:00,1.07,8,2025-01-01
770,scroll,2025-01-01 22:00:00,9.16,3,2025-01-01
344,click,2025-01-01 23:00:00,6.45,2,2025-01-01
492,click,2025-01-02 00:00:00,11.26,2,2025-01-02
414,search,2025-01-02 01:00:00,0.63,9,2025-01-02
806,scroll,2025-01-02 02:00:00,23.14,7,2025-01-02
386,search,2025-01-02 03:00:00,1.17,6,2025-01-02
192,click,2025-01-02 04:00:00,0.06,7,2025-01-02
956,search,2025-01-02 05:00:00,29.81,8,2025-01-02
277,search,2025-01-02 06:00:00,1.65,1,2025-01-02
161,purchase,2025-01-02 07:00:00,5.51,8,2025-01-02
460,search,2025-01-02 08:00:00,0.97,3,2025-01-02
314,scroll,2025-01-02 09:00:00,4.34,3,2025-01-02
22,click,2025-01-02 10:00:00,11.72,6,2025-01-02
253,search,2025-01-02 11:00:00,1.93,4,2025-01-02
748,click,2025-01-02 12:00:00,5.55,4,2025-01-02
857,search,2025-01-02 13:00:00,1.04,4,2025-01-02
561,search,2025-01-02 14:00:00,4.9,9,2025-01-02
475,scroll,2025-01-02 15:00:00,2.05,8,2025-01-02
59,search,2025-01-02 16:00:00,1.19,3,2025-01-02
511,scroll,2025-01-02 17:00:00,1.88,1,2025-01-02
682,search,2025-01-02 18:00:00,0.99,1,2025-01-02
476,search,2025-01-02 19:00:00,11.61,1,2025-01-02
700,scroll,2025-01-02 20:00:00,2.53,4,2025-01-02
976,click,2025-01-02 21:00:00,1.41,6,2025-01-02
783,search,2025-01-02 22:00:00,2.97,4,2025-01-02
190,click,2025-01-02 23:00:00,1.93,3,2025-01-02
958,search,2025-01-03 00:00:00,6.82,8,2025-01-03
687,scroll,2025-01-03 01:00:00,17.74,8,2025-01-03
958,click,2025-01-03 02:00:00,2.88,6,2025-01-03
563,scroll,2025-01-03 03:00:00,9.87,9,2025-01-03
876,scroll,2025-01-03 04:00:00,4.17,1,2025-01-03
567,click,2025-01-03 05:00:00,0.86,8,2025-01-03
244,share,2025-01-03 06:00:00,5.87,6,2025-01-03
832,click,2025-01-03 07:00:00,3.6,1,2025-01-03
505,share,2025-01-03 08:00:00,5.26,4,2025-01-03
131,search,2025-01-03 09:00:00,11.02,5,2025-01-03
485,purchase,2025-01-03 10:00:00,2.9,7,2025-01-03
819,click,2025-01-03 11:00:00,11.57,8,2025-01-03
647,click,2025-01-03 12:00:00,6.94,9,2025-01-03
21,purchase,2025-01-03 13:00:00,3.35,6,2025-01-03
841,scroll,2025-01-03 14:00:00,4.62,9,2025-01-03
167,search,2025-01-03 15:00:00,1.97,4,2025-01-03
274,search,2025-01-03 16:00:00,20.55,8,2025-01-03
388,scroll,2025-01-03 17:00:00,5.5,3,2025-01-03
601,purchase,2025-01-03 18:00:00,0.22,4,2025-01-03
316,share,2025-01-03 19:00:00,1.98,4,2025-01-03
14,scroll,2025-01-03 20:00:00,4.88,6,2025-01-03
242,share,2025-01-03 21:00:00,0.29,9,2025-01-03
777,scroll,2025-01-03 22:00:00,0.12,6,2025-01-03
346,search,2025-01-03 23:00:00,2.99,1,2025-01-03
565,search,2025-01-04 00:00:00,2.02,5,2025-01-04
898,scroll,2025-01-04 01:00:00,2.88,9,2025-01-04
340,purchase,2025-01-04 02:00:00,1.52,5,2025-01-04
92,search,2025-01-04 03:00:00,0.9,6,2025-01-04
367,click,2025-01-04 04:00:00,5.84,3,2025-01-04
956,share,2025-01-04 05:00:00,3.61,8,2025-01-04
455,click,2025-01-04 06:00:00,1.12,4,2025-01-04
428,click,2025-01-04 07:00:00,1.93,4,2025-01-04
509,click,2025-01-04 08:00:00,4.48,5,2025-01-04
776,search,2025-01-04 09:00:00,0.37,9,2025-01-04
943,click,2025-01-04 10:00:00,0.8,8,2025-01-04
35,click,2025-01-04 11:00:00,0.38,7,2025-01-04
206,search,2025-01-04 12:00:00,8.37,5,2025-01-04
81,scroll,2025-01-04 13:00:00,6.98,9,2025-01-04
932,click,2025-01-04 14:00:00,7.0,9,2025-01-04
562,scroll,2025-01-04 15:00:00,6.3,2,2025-01-04
872,scroll,2025-01-04 16:00:00,5.53,4,2025-01-04
388,search,2025-01-04 17:00:00,3.24,8,2025-01-04
2,purchase,2025-01-04 18:00:00,5.14,1,2025-01-04
